Market,City,y15,y14,y10,y05,y03,,t1yr,t5yr,t10yr,t12yr,,Current,ShortTerm,MidTerm,LongTerm
12260,"Augusta-Richmond County, GA-SC",0.92,0.87,0.67,1,1.09,,0.06,0.26,-0.08,-0.17,,1.37,2.47,0.46,0.56
12300,"Augusta-Waterville, ME",0.29,0.45,0.45,0.17,0.29,,-0.16,-0.16,0.13,0,,-1,-0.43,0.73,0.16
12380,"Austin, MN",-0.66,-0.53,-0.68,-0.72,-0.7,,-0.12,0.02,0.07,0.04,,-1.68,-0.37,-0.55,-0.64
12420,"Austin-Round Rock, TX",2.18,2.33,2.15,2.01,2.48,,-0.15,0.03,0.16,-0.3,,0.94,2.56,2.51,1.24
12460,"Bainbridge, GA",-1.05,-1.1,-0.75,-1.05,-0.95,,0.05,-0.29,0,-0.09,,-0.63,-2.8,-0.77,-1.3
12540,"Bakersfield, CA",1.23,1.27,1.29,1.27,1.51,,-0.04,-0.05,-0.04,-0.28,,0.9,1.02,1.18,0.55
12580,"Baltimore-Columbia-Towson, MD",2.32,2.42,2.35,1.09,1.22,,-0.09,-0.03,1.23,1.1,,1.56,2.32,5.2,3.8
12580,"Baltimore-Towson, MD",2.32,2.42,2.35,1.09,1.22,,-0.09,-0.03,1.23,1.1,,1.56,2.32,5.2,3.8
12620,"Bangor, ME",0.33,0.38,0.46,0.04,0.24,,-0.05,-0.12,0.3,0.1,,-0.06,-0.28,1.12,0.26
12660,"Baraboo, WI",-0.31,-0.14,-0.28,-0.48,-0.25,,-0.17,-0.03,0.18,-0.05,,-1.67,-0.23,0.11,-0.64
12700,"Barnstable Town, MA",0.87,0.89,0.99,0.98,0.9,,-0.01,-0.12,-0.11,-0.02,,0.76,0.26,0.71,0.91
12740,"Barre, VT",0.35,0.34,0.69,0.31,0.23,,0.02,-0.34,0.05,0.12,,0.49,-1.65,0.78,0.59
12780,"Bartlesville, OK",-0.78,-0.89,-0.68,-0.67,-0.66,,0.1,-0.1,-0.12,-0.13,,0.05,-1.43,-0.98,-1
12820,"Bastrop, LA",-1.1,-1.11,-1.09,-1.12,-1.11,,0.01,-0.01,0.02,0.01,,-1.05,-1.07,-1.07,-1.12
