Market,City,y15,y14,y10,y05,t1yr,t5yr,t10yr
23820,"Gardnerville Ranchos, NV",0.248671986,-0.002633364,-0.07447641,0.089039538,0.499977337,0.571820383,0.408304435
23860,"Georgetown, SC",-0.197776609,-0.226034572,-0.31219019,-0.252118162,-0.169518647,-0.083363029,-0.143435057
23900,"Gettysburg, PA",-0.111403532,-0.205740779,-0.374827208,-0.40441124,-0.017066285,0.152020144,0.181604176
23940,"Gillette, WY",-0.271820151,-0.345628345,-0.313295753,-0.498051721,-0.198011958,-0.23034455,-0.045588582
23980,"Glasgow, KY",-0.68860477,-0.456771197,-0.770189481,-0.653361721,-0.920438343,-0.60702006,-0.72384782
24020,"Glens Falls, NY",0.149866537,0.199312767,0.30996678,-0.333439826,0.100420307,-0.010233706,0.6331729
24060,"Glenwood Springs, CO",0.533654815,0.471546151,#N/A,#N/A,0.595763479,#N/A,#N/A
24100,"Gloversville, NY",-0.322417848,-0.411653102,-0.222351837,-0.524787382,-0.233182594,-0.422483858,-0.120048314
24140,"Goldsboro, NC",-0.348758556,-0.346965985,-0.044194305,-0.166249041,-0.350551126,-0.653322806,-0.53126807
24180,"Granbury, TX",#N/A,#N/A,-0.438047838,-0.376614619,#N/A,#N/A,#N/A
24220,"Grand Forks, ND-MN",-0.094882767,0.066107514,0.07245145,-0.220462765,-0.255873047,-0.262216983,0.030697231
24260,"Grand Island, NE",-0.078112569,-0.213711336,-0.05449281,0.599409029,0.057486199,-0.101732328,-0.755634167
24300,"Grand Junction, CO",0.430386773,0.438642243,0.40167152,0.371248829,0.422131302,0.459102025,0.489524716
24340,"Grand Rapids-Wyoming, MI",2.458239,2.222205228,1.939022446,2.901071613,2.694272772,2.977455554,2.015406387
24380,"Grants, NM",-1.290848618,-1.235673488,-1.37541615,-1.277842175,-1.346023749,-1.206281087,-1.303855062
24420,"Grants Pass, OR",-0.206691225,-0.192917071,0.079360294,-0.269217642,-0.22046538,-0.492742744,-0.144164808
24460,"Great Bend, KS",-0.658075914,-0.670624126,-0.896516555,-0.904832234,-0.645527701,-0.419635272,-0.411319593
24500,"Great Falls, MT",0.018194695,-0.012983673,0.120476267,-0.146020099,0.049373063,-0.084086877,0.182409488
