Market,City,y15,y14,y10,y05,t1yr,t5yr,t10yr
13180,"Beaver Dam, WI",0.388618525,0.223856061,0.408926184,0.351459703,0.55338099,0.368310866,0.425777347
13220,"Beckley, WV",-0.220220089,-0.251068466,-0.52135812,-0.511459783,-0.189371712,0.080917942,0.071019605
13260,"Bedford, IN",-0.769170574,-0.774752893,-0.881259631,-0.836117449,-0.763588256,-0.657081517,-0.702223699
13300,"Beeville, TX",-1.597843497,-1.667612403,-1.783933538,-1.640747649,-1.52807459,-1.411753456,-1.554939344
13340,"Bellefontaine, OH",-0.456531014,-0.648549517,-0.558508484,-0.246488134,-0.264512511,-0.354553544,-0.666573893
13380,"Bellingham, WA",0.848986497,0.803967806,0.703868093,0.52964584,0.894005189,0.994104902,1.168327155
13420,"Bemidji, MN",-0.638125175,-0.642970744,-0.670502062,-0.808027332,-0.633279605,-0.605748287,-0.468223017
13460,"Bend-Redmond, OR",0.842885324,0.764583585,0.960640559,0.221178035,0.921187062,0.725130088,1.464592612
13500,"Bennettsville, SC",-1.330100023,-1.479621664,-0.973727568,-0.942626171,-1.180578382,-1.686472478,-1.717573875
13540,"Bennington, VT",0.389634496,0.441006323,0.414808123,0.275608584,0.33826267,0.36446087,0.503660409
13620,"Berlin, NH-VT",-0.733300434,-0.813295026,-0.60838614,-0.57478817,-0.653305843,-0.858214729,-0.891812699
13660,"Big Rapids, MI",-0.835184168,-0.89965563,-0.821709327,-0.954267876,-0.770712706,-0.848659009,-0.716100461
13700,"Big Spring, TX",-1.161771992,-1.073503588,-1.48666156,-1.552808653,-1.250040396,-0.836882423,-0.770735331
13720,"Big Stone Gap, VA",-0.772607103,-0.515374215,#N/A,#N/A,-1.02983999,#N/A,#N/A
13740,"Billings, MT",0.223495574,0.217892344,0.39195634,0.632724679,0.229098803,0.055034807,-0.185733532
13780,"Binghamton, NY",1.233178768,1.240928757,1.195120192,1.167733166,1.22542878,1.271237345,1.298624371
13820,"Birmingham-Hoover, AL",1.327754198,1.457836525,1.502705542,1.761991065,1.197671871,1.152802854,0.893517331
13900,"Bismarck, ND",0.346458372,0.238650488,0.421065723,0.212572958,0.454266256,0.271851021,0.480343786
13940,"Blackfoot, ID",-1.102482075,-0.994004708,-0.914379925,-0.733783406,-1.210959442,-1.290584225,-1.471180744
13980,"Blacksburg-Christiansburg-Radford, VA",0.93042769,0.814447729,0.675191756,0.453923457,1.04640765,1.185663624,1.406931923
14010,"Bloomington, IL",0.467410905,0.40108277,#N/A,#N/A,0.533739039,#N/A,#N/A
14020,"Bloomington, IN",0.431938678,0.390915281,0.208194564,0.30020555,0.472962075,0.655682792,0.563671805
14100,"Bloomsburg-Berwick, PA",0.206813906,0.37436631,0.386113269,0.393289713,0.039261503,0.027514543,0.0203381
14140,"Bluefield, WV-VA",-0.415279156,-0.395590377,-0.411382122,0.018867223,-0.434967935,-0.41917619,-0.849425534
14180,"Blytheville, AR",-0.791732366,-0.626440998,-0.728961364,-0.579712877,-0.957023734,-0.854503368,-1.003751855
14220,"Bogalusa, LA",-1.183700013,-1.203756728,-1.36429267,-1.209426823,-1.163643297,-1.003107356,-1.157973202
14260,"Boise City, ID",1.302586584,1.242136852,1.121590422,1.132044253,1.363036316,1.483582745,1.473128915
14340,"Boone, IA",-0.285676756,-0.311942589,-0.631683095,-0.328912934,-0.259410924,0.060329582,-0.242440579
14380,"Boone, NC",-0.200839179,-0.428668095,-0.373687131,-0.446944582,0.026989736,-0.027991227,0.045266224
14420,"Borger, TX",-1.47492942,-1.198988481,-1.088261219,-1.117221532,-1.750870358,-1.861597621,-1.832637307
14460,"Boston-Cambridge-Newton, MA-NH",3.215082276,3.283705448,3.33159061,2.465208057,3.146459105,3.098573942,3.964956495
14500,"Boulder, CO",2.594764576,2.440428884,2.358385959,1.82012173,2.749100269,2.831143194,3.369407422
14540,"Bowling Green, KY",0.435370449,0.394843131,0.245671403,0.394410862,0.475897767,0.625069495,0.476330036
14580,"Bozeman, MT",1.027441887,1.123853016,1.01304149,0.52658778,0.931030757,1.041842284,1.528295993
14620,"Bradford, PA",-0.797987527,-0.777793415,-0.684189249,-0.518636417,-0.818181639,-0.911785805,-1.077338637
14660,"Brainerd, MN",0.175161683,0.223324683,-0.044384775,0.035331992,0.126998683,0.394708141,0.314991373
14700,"Branson, MO",0.537658341,0.648626245,0.209844279,0.176531322,0.426690438,0.865472403,0.898785361
14720,"Breckenridge, CO",0.273014121,0.147936233,#N/A,#N/A,0.398092009,#N/A,#N/A
14740,"Bremerton-Silverdale, WA",0.642731921,0.707776838,0.386503131,-0.180651743,0.577687004,0.89896071,1.466115585
14780,"Brenham, TX",-0.753811692,-0.805537028,-0.688619982,-0.588079444,-0.702086356,-0.819003402,-0.91954394
14820,"Brevard, NC",-0.205199409,-0.242446565,-0.39094831,-0.725387894,-0.167952253,-0.019450508,0.314989076
14860,"Bridgeport-Stamford-Norwalk, CT",2.750581264,2.776908673,2.656683982,3.052793465,2.724253855,2.844478546,2.448369063
15020,"Brookhaven, MS",-1.459025078,-1.523898901,-1.404775954,-1.373053414,-1.394151255,-1.513274202,-1.544996742
15060,"Brookings, OR",-0.736914639,-0.586875907,-0.788210877,-0.981749706,-0.886953372,-0.685618402,-0.492079573
15100,"Brookings, SD",-0.566527506,-0.656773463,-0.729232732,-0.695851704,-0.47628155,-0.40382228,-0.437203308
15180,"Brownsville-Harlingen, TX",0.782033235,0.882818593,0.605494682,0.492425252,0.681247878,0.958571789,1.071641219
15220,"Brownwood, TX",-0.9327332,-1.009848963,-0.975879641,-1.08117738,-0.855617437,-0.889586759,-0.78428902
15260,"Brunswick, GA",0.052276945,0.130605737,0.075562911,0.097007976,-0.026051846,0.028990979,0.007545914
15340,"Bucyrus, OH",-0.381418266,-0.372365298,-0.268153737,-0.011310763,-0.390471234,-0.494682794,-0.751525768
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",2.098841129,2.070018431,2.281941178,2.234212943,2.127663826,1.915741079,1.963469315
15420,"Burley, ID",-0.780260302,-0.832573461,-0.787115112,-0.671761009,-0.727947143,-0.773405492,-0.888759595
15460,"Burlington, IA-IL",-0.226936994,-0.224771765,-0.304604808,-0.398321399,-0.229102223,-0.149269181,-0.05555259
15500,"Burlington, NC",0.656302485,0.707278755,1.188954345,1.033194395,0.605326215,0.123650626,0.279410576
15540,"Burlington-South Burlington, VT",1.408329629,1.379192304,1.400652903,1.276835612,1.437466955,1.416006356,1.539823647
15580,"Butte-Silver Bow, MT",-0.717235166,-0.717123492,-0.574353265,-0.560861588,-0.717346839,-0.860117066,-0.873608743
15620,"Cadillac, MI",-0.734670201,-0.626775631,-0.820997337,-0.66309465,-0.842564772,-0.648343066,-0.806245753
15660,"Calhoun, GA",-0.244367738,-0.221245536,0.157337521,0.278549111,-0.267489941,-0.646072997,-0.767284587
15680,"California-Lexington Park, MD",-0.343438506,-0.202282965,#N/A,#N/A,-0.484594048,#N/A,#N/A
15700,"Cambridge, MD",-0.545046469,-0.442617075,-0.370229379,-0.261696169,-0.647475864,-0.71986356,-0.82839677
