Market,ENI,City,Area,GDP,PerCapita,Log_GDP,Log_PerCapita
13780,0.738749035,"Binghamton, NY","Binghamton, NY (Metropolitan Statistical Area)",9159,37011.74322,3.961848059,4.56833954
13820,1.829668359,"Birmingham-Hoover, AL","Birmingham-Hoover, AL (Metropolitan Statistical Area)",61864,54182.30387,4.791437997,4.733857468
13900,0.27665934,"Bismarck, ND","Bismarck, ND (Metropolitan Statistical Area)",7525,59366.96278,3.876506504,4.773544831
13940,-0.382959927,"Blackfoot, ID",NA,NA,NA,NA,NA
13980,-0.051839861,"Blacksburg-Christiansburg-Radford, VA","Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",6520,35936.92298,3.814247596,4.555540889
14010,0.341165348,"Bloomington, IL","Bloomington, IL (Metropolitan Statistical Area)",11129,58547.18391,4.046456142,4.767506011
14020,0.217333069,"Bloomington, IN","Bloomington, IN (Metropolitan Statistical Area)",6407,38956.38004,3.806654724,4.590578594
14100,-0.208995152,"Bloomsburg-Berwick, PA","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",3630,42522.78425,3.559906625,4.628621693
14140,-0.184937594,"Bluefield, WV-VA",NA,NA,NA,NA,NA
14180,-1.105548156,"Blytheville, AR",NA,NA,NA,NA,NA
14220,-0.960876011,"Bogalusa, LA",NA,NA,NA,NA,NA
14260,1.48500792,"Boise City-Nampa, ID","Boise City, ID (Metropolitan Statistical Area)",28921,43554.14865,4.461213305,4.639029529
14340,-1.259307143,"Boone, IA",NA,NA,NA,NA,NA
14380,-0.333937027,"Boone, NC",NA,NA,NA,NA,NA
14420,-0.965056919,"Borger, TX",NA,NA,NA,NA,NA
14460,3.486841977,"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",378983,80043.53381,5.578619729,4.903326254
14500,1.931555771,"Boulder, CO","Boulder, CO (Metropolitan Statistical Area)",22243,71017.61152,4.347193362,4.851366062
14540,0.327182328,"Bowling Green, KY","Bowling Green, KY (Metropolitan Statistical Area)",6278,37832.49569,3.797821311,4.577864991
14580,0.719595984,"Bozeman, MT",NA,NA,NA,NA,NA
14620,-0.917461564,"Bradford, PA",NA,NA,NA,NA,NA
14660,0.073337409,"Brainerd, MN",NA,NA,NA,NA,NA
14700,0.324084644,"Branson, MO",NA,NA,NA,NA,NA
14720,0.30137531,"Breckenridge, CO",NA,NA,NA,NA,NA
14740,0.647904359,"Bremerton-Silverdale, WA","Bremerton-Silverdale, WA (Metropolitan Statistical Area)",9806,38565.00126,3.991491889,4.58619335
14780,-0.79689612,"Brenham, TX",NA,NA,NA,NA,NA
14820,-0.564744663,"Brevard, NC",NA,NA,NA,NA,NA
14860,2.433671868,"Bridgeport-Stamford-Norwalk, CT","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",97863,103702.9266,4.990618525,5.015791013
15020,-1.102271821,"Brookhaven, MS",NA,NA,NA,NA,NA
15060,-0.652649931,"Brookings, OR",NA,NA,NA,NA,NA
15100,-0.516949884,"Brookings, SD",NA,NA,NA,NA,NA
15180,0.935190554,"Brownsville-Harlingen, TX","Brownsville-Harlingen, TX (Metropolitan Statistical Area)",9211,21973.2771,3.964306782,4.341894833
15220,-0.924805723,"Brownwood, TX",NA,NA,NA,NA,NA
15260,0.159250979,"Brunswick, GA","Brunswick, GA (Metropolitan Statistical Area)",3508,30570.8061,3.545059585,4.48530689
15340,-0.744169671,"Bucyrus, OH",NA,NA,NA,NA,NA
15380,1.903796302,"Buffalo-Cheektowaga-Niagara Falls, NY","Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",54535,47956.09513,4.736675317,4.680843813
15420,-0.776835407,"Burley, ID",NA,NA,NA,NA,NA
15460,-0.557396115,"Burlington, IA-IL",NA,NA,NA,NA,NA
15500,0.294324386,"Burlington, NC","Burlington, NC (Metropolitan Statistical Area)",4849,31076.16191,3.685652184,4.492427376
15540,1.036507539,"Burlington-South Burlington, VT","Burlington-South Burlington, VT (Metropolitan Statistical Area)",12614,58253.32391,4.100852827,4.765320711
15580,-0.436211925,"Butte-Silver Bow, MT",NA,NA,NA,NA,NA
15620,-0.707006941,"Cadillac, MI",NA,NA,NA,NA,NA
15660,-0.028130285,"Calhoun, GA",NA,NA,NA,NA,NA
15680,-0.317999785,"California-Lexington Park, MD","California-Lexington Park, MD (Metropolitan Statistical Area)",5871,53139.39701,3.76871208,4.725416622
15700,-0.676304461,"Cambridge, MD",NA,NA,NA,NA,NA
15740,-0.830414284,"Cambridge, OH",NA,NA,NA,NA,NA
15780,-0.885984254,"Camden, AR",NA,NA,NA,NA,NA
15820,-0.892955811,"Campbellsville, KY",NA,NA,NA,NA,NA
15860,-0.994104302,"Canon City, CO",NA,NA,NA,NA,NA
15900,-0.832201723,"Canton, IL",NA,NA,NA,NA,NA
15940,1.114246537,"Canton-Massillon, OH","Canton-Massillon, OH (Metropolitan Statistical Area)",17451,43222.18397,4.241820319,4.635706708
15980,1.407059845,"Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",23498,34655.36363,4.371030899,4.53977046
16020,0.037839499,"Cape Girardeau, MO-IL","Cape Girardeau, MO-IL (Metropolitan Statistical Area)",3765,38580.16785,3.575764981,4.586364113
